Notes,Score,evidence
Does your project have an e-mail address or forum that is solely for supporting users?,Yes,featurehuntteam@gmail.com
Are e-mails to your support e-mail address received by more than one person?,Yes,The credentials was shared with all the team memebrs
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/elric97/feature-hunt/issues?q=is%3Aissue+
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/elric97/feature-hunt/issues?q=is%3Aissue+
Is your software’s architecture and design modular?,Yes,
Does your software use an accepted coding standard or convention?,Yes,https://github.com/elric97/feature-hunt/blob/main/CODE_OF_CONDUCT.md
 Does your software allow data to be imported and exported using open data formats?,Yes,Supposting jason
Does your software allow communications using open communications protocols?,Yes,
Is your software cross-platform compatible?,Yes,Can be deployed on any platform
Does your software adhere to appropriate accessibility conventions or standards?,Yes,Accessibe by all people
Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,Accessibe by all people
Is your source code stored in a repository under revision control?,Yes,Git Version control
Is each source code release a snapshot of the repository?,Yes,
Are releases tagged in the repository?,Yes,https://github.com/CSC510-Group-25/feature-hunt/compare/v0.1-beta...v0.3.3-alpha
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,https://github.com/CSC510-Group-25/feature-hunt/tree/group25-STABLE
Do you back-up your repository?,Yes,Forked by many users
Do you provide publicly-available instructions for building your software from the source code?,Yes ,By the use of Docker
" Can you build, or package, your software using an automated tool?",Yes,By the use of Docker
 Do you provide publicly-available instructions for deploying your software?,Yes,Readme
Does your documentation list all third-party dependencies?,Yes,Readme
Does your documentation list the version number for all third-party dependencies?,Yes,Readme
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,https://github.com/elric97/feature-hunt/blob/main/backend/requirements.txt
Can you download dependencies using a dependency management tool or package manager?,Yes,Stated in Readme: pip install -r api/requirements.txt
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,Test and build check is being done in travis.yml
Do you have an automated test suite for your software?,Yes,https://github.com/elric97/feature-hunt/tree/main/test
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,No worflow is defined in Github
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",No,
Are your test results publicly visible?,Yes,proofs are present in tarvis
Are all manually-run tests documented?,No,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",yes,https://github.com/shahrk/feature-hunt/wiki/Feature-Hunt
Does your website state how many projects and users are associated with your project?,Yes,Contributors are listed on the gitHub
Do you provide success stories on your website?,No,
Do you list your important partners and collaborators on your website?,Yes,https://github.com/shahrk/feature-hunt#contributors-
Do you list your project's publications on your website or link to a resource where these are available?,No,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Can users subscribe to notifications to changes to your source code repository?,Yes ,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,It is open for all kinds of contribution
Do you have a contributions policy?,Yes,https://github.com/shahrk/feature-hunt/blob/main/CONTRIBUTING.md
Is your contributions' policy publicly available?,Yes,https://github.com/shahrk/feature-hunt/blob/main/CONTRIBUTING.md
Do contributors keep the copyright/IP of their contributions?,Yes,https://github.com/CSC510-Group-25/feature-hunt/blob/group25-STABLE/backend/app/__init__.py
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes ,
Does each of your source code files include a copyright statement?,Yes ,
Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/CSC510-Group-25/feature-hunt/blob/group25-STABLE/LICENSE
Is your software released under an open source licence?,Yes,https://github.com/CSC510-Group-25/feature-hunt/blob/group25-STABLE/LICENSE
Is your software released under an OSI-approved open-source licence?,Yes,https://github.com/CSC510-Group-25/feature-hunt/blob/group25-STABLE/LICENSE
Does each of your source code files include a licence header?,Yes,https://github.com/CSC510-Group-25/feature-hunt/blob/group25-STABLE/LICENSE
Do you have a recommended citation for your software?,Yes,Added the DOI badge
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)",Yes,https://github.com/elric97/feature-hunt/projects/1
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
